nl|aankoop van allerlei vervoerbewijzen kan men bij voorkeur terecht aan de biljettenautomaat die ter beschikking
nl|werd een nieuw stationsgebouw, ontworpen door architect Paul Nouille, in gebruik genomen. De dienstwoning van
en|test on an attribute, each branch represents the outcome of a test, and each leaf
en|description languages. In 2005, the 1985 paper in which the Yale shooting scenario was first 
nl|zijn de loketten van dit station gesloten en is het een stopplaats geworden. Voor de
en|tuples. A decision tree is a flow-chart-like structure, where each internal (non-leaf) node denotes a
en|effect is that alive changes value (since alive was true before, this corresponds to alive
en|decision trees due to their added sparsity, permit non-greedy learning methods and monotonic constraints to
en|of occlusion, which formalizes the “permission to change” for a fluent. The effect of an
en|one implication involved.) A solution proposed by Erik Sandewall was to include a new condition
nl|De nieuwe treinverbinding, die in het kader van het spoorwegennet werd gerealiseerd, zorgt voor een snelle
en|being false), and one or more effects. In this sense, the term effect is similar to the
nl|Naast het station bevindt zich een ruime parking waar reizigers hun voertuig kunnen parkeren tijdens hun
en|tuning the model parameters. Decision tree learners create biased trees if some classes dominate. It
nl|werd vanaf de eerste helft van de twintigste eeuw de wijk rond het station geleidelijk aan volgebouwd met
en|learning to induce a generalizable model. In decision analysis, a decision tree can be used to
nl|beslissingen te nemen in verband met de herontwikkeling van het stationsgebied en de omliggende wijk. Er
nl|zijn op het vlak van duurzaamheid en mobiliteit. De nabijheid van het station zorgt voor een vlotte
en|decision trees to be overfit to the training data. Pruning is a technique in machine learning
en|In this application, leaves represent class labels and branches represent conjunctions of features that
nl|reis. Daarnaast zijn er ook verschillende fietskluizen beschikbaar voor wie met de fiets naar het
en|Decision trees are commonly used in operations research, specifically in decision analysis, to help identify
en|to predict target variables based on input variables. It is one of the predictive modeling approaches
nl|transport te nemen. In de stationsbuurt zijn er ook verschillende eetgelegenheden en winkels te vinden voor
nl|die passanten en reizigers aantrekken. Het station ligt aan de drukke spoorlijn tussen
en|carries out a statistical test to test the independence of the attributes in the dataset. For
nl|tussen grote steden in de regio. Dankzij de nieuwe treinverbindingen is de mobiliteit
en|decision tree is a decision support tool that uses a tree-like model of decisions and their
en|terms, though it can take any value among leaves. Decision trees are used for
en|interactions. In decision analysis, a decision tree and the closely related influence diagram are used
nl|in de regio sterk verbeterd en zijn meer mensen geneigd om de trein te nemen voor hun
en|Decision trees are commonly used in operations research, specifically in decision analysis, to help identify
nl|transport. Het station heeft een belangrijke rol gespeeld in de ontwikkeling van de
en|surrounding area. The proximity of the station ensures smooth transportation for
